glyph name;code points
.notdef;
A;U+0041
B;U+0042
C;U+0043
D;U+0044
E;U+0045
F;U+0046
G;U+0047
H;U+0048
I;U+0049
J;U+004A
K;U+004B
L;U+004C
M;U+004D
N;U+004E
O;U+004F
P;U+0050
Q;U+0051
R;U+0052
S;U+0053
T;U+0054
U;U+0055
V;U+0056
W;U+0057
X;U+0058
Y;U+0059
Z;U+005A
a;U+0061
ampersand;U+0026
asciicircum;U+005E
asciitilde;U+007E
asterisk;U+002A
at;U+0040
b;U+0062
backslash;U+005C
bar;U+007C
braceleft;U+007B
braceright;U+007D
bracketleft;U+005B
bracketright;U+005D
bullet;U+2022
c;U+0063
cent;U+00A2
colon;U+003A
comma;U+002C
copyright;U+00A9
currency;U+00A4
d;U+0064
dollar;U+0024
e;U+0065
eight;U+0038
ellipsis;U+2026
equal;U+003D
euro;U+20AC
exclam;U+0021
f;U+0066
five;U+0035
four;U+0034
g;U+0067
greater;U+003E
guilsinglleft;U+2039
guilsinglright;U+203A
h;U+0068
hyphen;U+002D
i;U+0069
j;U+006A
k;U+006B
l;U+006C
less;U+003C
m;U+006D
n;U+006E
nine;U+0039
numbersign;U+0023
o;U+006F
one;U+0031
p;U+0070
parenleft;U+0028
parenright;U+0029
percent;U+0025
period;U+002E
plus;U+002B
q;U+0071
question;U+003F
quotedbl;U+0022
quotedblleft;U+201C
quotedblright;U+201D
quoteleft;U+2018
quoteright;U+2019
quotesingle;U+0027
r;U+0072
registered;U+00AE
s;U+0073
semicolon;U+003B
seven;U+0037
six;U+0036
slash;U+002F
space;U+0020
sterling;U+00A3
t;U+0074
three;U+0033
trademark;U+2122
two;U+0032
u;U+0075
underscore;U+005F
uni0000;U+0000
v;U+0076
w;U+0077
x;U+0078
y;U+0079
yen;U+00A5
z;U+007A
zero;U+0030
