TYPE
kern

GROUPS1

GROUPS2

VALUES
side1;side2;default
F;o;-20
F;A;-15
F;s;-20
F;y;-20
F;c;-20
F;e;-20
F;a;-20
F;d;-20
F;g;-20
F;m;-20
F;n;-20
F;p;-20
F;q;-20
F;r;-20
F;u;-20
F;v;-20
F;w;-20
F;x;-20
F;z;-20
F;t;-40
F;C;-15
F;G;-15
F;O;-15
F;Q;-15
F;S;-15
L;T;-185
L;V;-10
L;Y;-165
L;t;-110
L;v;-30
T;A;-20
T;c;-60
T;s;-60
T;y;-60
T;e;-60
T;o;-60
T;a;-60
T;d;-60
T;g;-60
T;m;-60
T;n;-60
T;p;-60
T;q;-60
T;r;-60
T;u;-60
T;v;-60
T;w;-60
T;x;-60
T;z;-60
T;t;-80
T;C;-20
T;G;-20
T;O;-20
T;Q;-20
V;j;-50
Y;g;-20
Y;o;-20
Y;a;-20
Y;c;-20
Y;e;-20
Y;d;-20
Y;q;-20
Y;r;-20
Y;s;-20
Y;t;-10
Y;u;-20
Y;f;-5
Y;v;-20
Y;w;-20
Y;m;-20
Y;n;-20
Y;x;-20
Y;y;-20
Y;z;-20
Y;p;-20
a;j;-40
a;Y;-20
a;T;-60
b;j;-40
b;T;-60
b;J;-5
b;Y;-20
d;j;-40
e;j;-45
e;T;-60
e;Y;-20
e;J;-5
n;j;-40
n;L;-73
n;Y;-20
n;T;-60
o;j;-40
o;T;-60
o;J;-5
o;Y;-20
t;j;-45
t;Y;-25
t;a;-5
t;c;-5
t;d;-5
t;e;-5
t;g;-5
t;o;-5
t;q;-5
A;T;-20
s;T;-60
s;Y;-20
c;T;-60
c;Y;-20
G;T;-25
D;T;-20
Q;T;-20
O;T;-20
P;a;-15
P;q;-20
P;s;-20
P;c;-20
P;d;-20
P;v;-15
P;w;-15
P;e;-20
P;g;-20
P;x;-15
P;y;-15
P;o;-20
C;q;-5
C;o;-5
C;g;-5
C;e;-5
C;d;-5
C;c;-5
C;a;-5
v;T;-60
v;Y;-20
v;J;-5
w;T;-60
w;Y;-20
w;J;-5
y;T;-60
y;Y;-20
y;J;-5
x;T;-60
x;Y;-20
k;T;-60
k;Y;-20
h;Y;-20
h;T;-60
m;Y;-20
m;T;-60
q;Y;-20
q;T;-60
g;Y;-20
g;T;-60
u;Y;-20
u;T;-60
u;J;-5
p;T;-60
p;J;-5
p;Y;-20
r;T;-80
r;J;-40
r;q;-10
r;o;-10
r;g;-10
r;e;-10
r;d;-10
r;a;-10
r;c;-10
f;J;-20
z;Y;-20
z;T;-60
Z;t;-10
E;t;-10
